Game Name;Publisher;Genre;Play Time;Times Played;Average Play Time;First Played;Last Played
Etrian Odyssey Untold The Millennium Girl;Atlus;RPG;80.5167;58;1.3833;31/3/2014;3/5/2015
Conception 2: Children Of The Seven Stars;Atlus;RPG;24.3833;17;1.4333;7/12/2014;23/12/2014
Tomodachi Life;Nintendo;Simulation;25.85;20;1.2833;28/12/2014;2/1/2016
Kirby: Triple Deluxe;Nintendo;Platformer;9.6667;11;0.8667;23/12/2014;7/3/2016
The Legend of Zelda A Link Between Worlds;Nintendo;"Action, Adventure";35.6;24;1.4833;5/1/2015;27/2/2015
Pokemon Alpha Sapphire;Nintendo;RPG;324.25;136;2.3833;26/1/2015;4/3/2020
Pokemon Rumble World;Nintendo;"Action, Adventure";42.4833;55;0.7667;7/5/2015;19/9/2017
Pokemon Shuffle;Nintendo;Puzzle;120.7167;250;0.4667;18/5/2015;25/8/2021
Shin Megami Tensei: Devil Survivor Overclocked;Atlus;RPG;64.8333;55;1.1667;17/6/2015;28/3/2018
Animal Crossing: New Leaf;Nintendo;Simulation;736.7;556;1.3167;2/1/2016;5/8/2019
Pokemon Picross;Nintendo;Puzzle;144.3667;460;0.3;18/1/2016;13/5/2018
Pokemon Moon;Nintendo;RPG;92.8333;36;2.5667;18/11/2016;21/2/2020
Mario & Luigi: Bowser’s Inside Story + Bowser Jr.’s Journey;Nintendo;"RPG, Action, Adventure";36.9833;14;2.6333;22/1/2019;30/1/2019
Pokemon SoulSilver;Nintendo;RPG;30.8833;19;1.6167;24/2/2020;28/2/2020
Pokemon X;Nintendo;RPG;16.8833;11;1.5333;23/2/2020;8/3/2020
